"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-11,"Elmhurst","Queens","11373","11373","18+",74412.58,8763,58307,67070,11.78,78.36,90.13
2021-06-11,"Rego Park","Queens","11374","11374","18+",34948.32,2631,21825,24456,7.53,62.45,69.98
2021-06-11,"Forest Hills","Queens","11375","11375","18+",59627.01,3824,37611,41435,6.41,63.08,69.49
2021-06-11,"Woodside","Queens","11377","11377","18+",68556.99,7468,47866,55334,10.89,69.82,80.71
2021-06-11,"Maspeth","Queens","11378","11378","18+",28126.17,2195,16266,18461,7.8,57.83,65.64
2021-06-11,"Middle Village","Queens","11379","11379","18+",29592.35,1902,16785,18687,6.43,56.72,63.15
2021-06-11,"Glendale/Ridgewood","Queens","11385","11385","18+",79512.77,6706,41029,47735,8.43,51.6,60.03
2021-06-11,"Cambria Heights","Queens","11411","11411","18+",17780.06,1012,7448,8460,5.69,41.89,47.58
2021-06-11,"St. Albans","Queens","11412","11412","18+",30605.05,1807,12559,14366,5.9,41.04,46.94
2021-06-11,"Laurelton/Rosedale","Queens","11413","11413","18+",34691.42,2033,13389,15422,5.86,38.59,44.45
2021-06-11,"Hamilton Beach/Howard Beach/Lindenwood","Queens","11414","11414","18+",22906.27,1275,11629,12904,5.57,50.77,56.33
2021-06-11,"Kew Gardens","Queens","11415","11415","18+",15351.36,1000,9607,10607,6.51,62.58,69.09
2021-06-11,"Ozone Park","Queens","11416","11416","18+",19793.91,1862,12059,13921,9.41,60.92,70.33
2021-06-11,"Ozone Park","Queens","11417","11417","18+",23723.61,2105,14915,17020,8.87,62.87,71.74
2021-06-11,"Richmond Hill","Queens","11418","11418","18+",28809.61,2471,17452,19923,8.58,60.58,69.15
2021-06-11,"Richmond Hill/South Ozone Park","Queens","11419","11419","18+",37919.05,3953,23861,27814,10.42,62.93,73.35
2021-06-11,"South Ozone Park","Queens","11420","11420","18+",37131.19,3396,22183,25579,9.15,59.74,68.89
2021-06-11,"Woodhaven","Queens","11421","11421","18+",30741.48,2716,18584,21300,8.83,60.45,69.29
2021-06-11,"Rosedale","Queens","11422","11422","18+",25568.22,1536,10588,12124,6.01,41.41,47.42
2021-06-11,"Hollis/Holliswood","Queens","11423","11423","18+",25411.54,1748,14806,16554,6.88,58.26,65.14
2021-06-11,"Bellerose","Queens","11426","11426","18+",16079.91,1226,10157,11383,7.62,63.17,70.79
2021-06-11,"Bellerose/Hollis Hills/Holliswood","Queens","11427","11427","18+",19076.56,1499,14701,16200,7.86,77.06,84.92
2021-06-11,"Queens Village","Queens","11428","11428","18+",14737.78,1136,10103,11239,7.71,68.55,76.26
2021-06-11,"Queens Village","Queens","11429","11429","18+",26071.37,1581,11005,12586,6.06,42.21,48.28
2021-06-11,"Hillcrest/Jamaica Estates/Jamaica Hills","Queens","11432","11432","18+",48714.59,4187,33352,37539,8.59,68.46,77.06
2021-06-11,"Jamaica","Queens","11433","11433","18+",28024.61,1858,13471,15329,6.63,48.07,54.7
2021-06-11,"Airport/South Jamaica/Springfield Gardens/St. Albans","Queens","11434","11434","18+",53242.83,3260,21886,25146,6.12,41.11,47.23
2021-06-11,"Briarwood/Jamaica","Queens","11435","11435","18+",46003.22,3513,25896,29409,7.64,56.29,63.93
2021-06-11,"South Jamaica/South Ozone Park","Queens","11436","11436","18+",15396.64,1125,7602,8727,7.31,49.37,56.68
2021-06-11,"Edgemere/Far Rockaway","Queens","11691","11691","18+",48413.6,3645,17538,21183,7.53,36.23,43.75
2021-06-11,"Arverne/Edgemere","Queens","11692","11692","18+",15519,1021,6258,7279,6.58,40.32,46.9
2021-06-11,"Arverne/Broad Channel","Queens","11693","11693","18+",9767.71,602,4318,4920,6.16,44.21,50.37
2021-06-11,"Belle Harbor-Neponsit/Rockaway Park","Queens","11694","11694","18+",16540.37,993,8516,9509,6,51.49,57.49
2021-06-11,"Breezy Point","Queens","11697","11697","18+",2689.54,205,2370,2575,7.62,88.12,95.74
