"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-06-11","Asian","All ages",82689,832087
"2021-06-11","Black","All ages",52200,544191
"2021-06-11","Hispanic/Latino","All ages",83631,934916
"2021-06-11","Multiracial","All ages",405,3169
"2021-06-11","Native American/Alaska Native","All ages",1576,12004
"2021-06-11","Native Hawaiian/Pacific Islander","All ages",894,6189
"2021-06-11","Other","All ages",78204,405609
"2021-06-11","Unknown","All ages",90317,484709
"2021-06-11","White","All ages",340279,1215857
