"BOROUGH","POP_DENOMINATOR","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_FULLY","PERC_1PLUS"
"CITYWIDE",1280407.58,863199,934215,67.42,72.96
"BRONX",189855.43,128003,138998,67.42,73.21
"BROOKLYN",367884,219106,240632,59.56,65.41
"MANHATTAN",273270.62,202588,214985,74.13,78.67
"QUEENS",370096.54,255869,277593,69.14,75.01
"STATEN ISLAND",79301,57633,62007,72.68,78.19
"Updated:  June 12, at 9:30 a.m.",,,,,
