"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-06-11","Asian","65+",12196,138944
"2021-06-11","Black","65+",9290,144476
"2021-06-11","Hispanic/Latino","65+",10055,162522
"2021-06-11","Multiracial","65+",63,552
"2021-06-11","Native American/Alaska Native","65+",367,2440
"2021-06-11","Native Hawaiian/Pacific Islander","65+",132,1081
"2021-06-11","Other","65+",22651,93959
"2021-06-11","Unknown","65+",16621,88070
"2021-06-11","White","65+",95249,302171
