"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
"2021-06-11","Adults (18+)","Age","18-24",704670.82,"71113","282389","353502",10.09,40.07,50.17
"2021-06-11","Adults (18+)","Age","25-34",1483699,"113585","707477","821062",7.66,47.68,55.34
"2021-06-11","Adults (18+)","Age","35-44",1136906,"95489","627943","723432",8.4,55.23,63.63
"2021-06-11","Adults (18+)","Age","45-54",1028087,"82536","621592","704128",8.03,60.46,68.49
"2021-06-11","Adults (18+)","Age","55-64",998924.42,"73614","674079","747693",7.37,67.48,74.85
"2021-06-11","Adults (18+)","Age","65-74",718795,"42220","520603","562823",5.87,72.43,78.3
"2021-06-11","Adults (18+)","Age","75-84",382674.58,"20053","250465","270518",5.24,65.45,70.69
"2021-06-11","Adults (18+)","Age","85+",178938,"8743","92131","100874",4.89,51.49,56.37
"2021-06-11","Adults (18+)","Borough","Citywide",6632694.82,"507353","3776679","4284032",7.65,56.94,64.59
"2021-06-11","Adults (18+)","Borough","Bronx",1071774.44,"82966","520146","603112",7.74,48.53,56.27
"2021-06-11","Adults (18+)","Borough","Brooklyn",1984839.78,"143754","1016971","1160725",7.24,51.24,58.48
"2021-06-11","Adults (18+)","Borough","Manhattan",1383753.3,"99711","914106","1013817",7.21,66.06,73.27
"2021-06-11","Adults (18+)","Borough","Queens",1819159.24,"156485","1123785","1280270",8.6,61.77,70.38
"2021-06-11","Adults (18+)","Borough","Staten Island",373168.06,"24437","201671","226108",6.55,54.04,60.59
"2021-06-11","Adults (18+)","Race/ethnicity","Asian/NHPI",1017642.02,"95494","711881","807375",9.38,69.95,79.34
"2021-06-11","Adults (18+)","Race/ethnicity","Black",1452845.22,"68538","462244","530782",4.72,31.82,36.53
"2021-06-11","Adults (18+)","Race/ethnicity","Hispanic/Latino",1823990.38,"137712","766574","904286",7.55,42.03,49.58
"2021-06-11","Adults (18+)","Race/ethnicity","Native American/Alaska Native",15020.93,"1955","9245","11200",13.02,61.55,74.56
"2021-06-11","Adults (18+)","Race/ethnicity","Other",,"45621","345658","391279",,,
"2021-06-11","Adults (18+)","Race/ethnicity","Multiracial",96578.73,"264","2873","3137",0.27,2.97,3.25
"2021-06-11","Adults (18+)","Race/ethnicity","Unknown",,"57751","390819","448570",,,
"2021-06-11","Adults (18+)","Race/ethnicity","White",2226617.54,"100018","1087385","1187403",4.49,48.84,53.33
"2021-06-11","Adults (18+)","Sex","Female",3524289.08,"266305","2001717","2268022",7.56,56.8,64.35
"2021-06-11","Adults (18+)","Sex","Male",3108405.74,"238147","1732118","1970265",7.66,55.72,63.39
"2021-06-11","Adults (18+)","Sex","Other",,"56","142","198",,,
"2021-06-11","Adults (18+)","Sex","Prefer not to answer",,"<10","<10","<10",,,
"2021-06-11","Adults (18+)","Sex","Unknown",,"2840","42702","45542",,,
"2021-06-11","All ages","Age","0-17",1704122.18,"68561","86138","154699",4.02,5.05,9.08
"2021-06-11","All ages","Age","18-24",704670.82,"71113","282389","353502",10.09,40.07,50.17
"2021-06-11","All ages","Age","25-34",1483699,"113585","707477","821062",7.66,47.68,55.34
"2021-06-11","All ages","Age","35-44",1136906,"95489","627943","723432",8.4,55.23,63.63
"2021-06-11","All ages","Age","45-54",1028087,"82536","621592","704128",8.03,60.46,68.49
"2021-06-11","All ages","Age","55-64",998924.42,"73614","674079","747693",7.37,67.48,74.85
