"DATE","RESIDENCY","ADMIN_ALLDOSES_CUMULATIVE_Under18","ADMIN_ALLDOSES_CUMULATIVE_18plus","ADMIN_ALLDOSES_CUMULATIVE_Allages","PERC_ADMIN_ALLDOSES_Allages"
2022-02-07,"NON-NYC",88885,1779671,1868556,11.27
2022-02-07,"NYC",1380230,13288978,14669208,88.51
2022-02-07,"UNKNOWN",367,34779,35146,0.21
2022-02-07,"Total",1469482,15103428,16572910,100
