"DATE","RESIDENCY","ADMIN_DOSE1_CUMULATIVE","ADMIN_DOSE2_CUMULATIVE","ADMIN_SINGLE_CUMULATIVE","ADMIN_ALLDOSES_CUMULATIVE","PERC_ADMIN_DOSE1","PERC_ADMIN_DOSE2","PERC_ADMIN_SINGLE","PERC_ADMIN_ALLDOSES"
2021-08-03,"NON-NYC",658494,525150,53025,1236669,12.97,11.61,12.08,12.32
2021-08-03,"NYC",4398209,3980717,385452,8764378,86.64,88.03,87.79,87.32
2021-08-03,"UNKNOWN",19958,15973,573,36504,0.39,0.35,0.13,0.36
2021-08-03,"Total",5076661,4521840,439050,10037551,100,100,100,100
