"DATE","ADMIN_DOSE1_DAILY","ADMIN_DOSE1_CUMULATIVE","ADMIN_DOSE2_DAILY","ADMIN_DOSE2_CUMULATIVE","ADMIN_SINGLE_DAILY","ADMIN_SINGLE_CUMULATIVE","ADMIN_ADDITIONAL1_DAILY","ADMIN_ADDITIONAL1_CUMULATIVE","ADMIN_ADDITIONAL2_DAILY","ADMIN_ADDITIONAL2_CUMULATIVE","ADMIN_ADDITIONAL_DAILY","ADMIN_ADDITIONAL_CUMULATIVE","ADMIN_BIVALENT_ADDITIONAL_DAILY","ADMIN_BIVALENT_ADDITIONAL_CUMULATIVE","ADMIN_ALLDOSES_DAILY","ADMIN_ALLDOSES_7DAYAVG","ADMIN_ALLDOSES_CUMULATIVE","ADMIN_ALLDOSES_PRIMARY","INCOMPLETE"
2023-01-30,601,7491678,399,6513121,18,592669,40,3424926,37,509049,80,3954750,2505,1238215,3228,2899.57,19641199,14469009,0
2023-01-31,509,7492187,356,6513477,12,592681,29,3424955,48,509097,89,3954839,2439,1240654,3066,2807.86,19644265,14469559,0
2023-02-01,485,7492672,337,6513814,16,592697,40,3424995,44,509141,92,3954931,2322,1242976,2966,2748.57,19647231,14470119,0
2023-02-02,462,7493134,349,6514163,13,592710,34,3425029,35,509176,77,3955008,2156,1245132,2777,2666,19650008,14470671,0
2023-02-03,545,7493679,392,6514555,14,592724,27,3425056,35,509211,69,3955077,2360,1247492,3064,2596,19653072,14471313,0
2023-02-04,243,7493922,158,6514713,11,592735,14,3425070,16,509227,31,3955108,1141,1248633,1403,2521.29,19654475,14471545,0
2023-02-05,201,7494123,96,6514809,0,592735,2,3425072,15,509242,19,3955127,854,1249487,972,2496.57,19655447,14471646,0
2023-02-06,597,7494720,314,6515123,9,592744,28,3425100,27,509269,64,3955191,2253,1251740,2830,2439.71,19658277,14472168,0
2023-02-07,476,7495196,364,6515487,5,592749,28,3425128,35,509304,71,3955262,2334,1254074,2934,2420.86,19661211,14472705,0
2023-02-08,453,7495649,320,6515807,4,592753,27,3425155,37,509341,70,3955332,2315,1256389,2878,2408.29,19664089,14473204,0
2023-02-09,478,7496127,348,6516155,3,592756,38,3425193,46,509387,98,3955430,2054,1258443,2709,2398.57,19666798,14473775,0
2023-02-10,496,7496623,390,6516545,2,592758,30,3425223,34,509421,88,3955518,2273,1260716,2963,2384.14,19669761,14474401,0
2023-02-11,294,7496917,197,6516742,7,592765,22,3425245,25,509446,48,3955566,1343,1262059,1661,2421,19671422,14474672,0
2023-02-12,182,7497099,81,6516823,0,592765,6,3425251,0,509446,10,3955576,706,1262765,818,2399,19672240,14474778,0
2023-02-13,443,7497542,293,6517116,4,592769,21,3425272,26,509472,51,3955627,1758,1264523,2319,2326,19674559,14475292,0
2023-02-14,396,7497938,272,6517388,6,592775,29,3425301,22,509494,56,3955683,1689,1266212,2218,2223.71,19676777,14475770,0
2023-02-15,405,7498343,289,6517677,10,592785,24,3425325,28,509522,64,3955747,1745,1267957,2262,2135.71,19679039,14476235,0
2023-02-16,360,7498703,244,6517921,5,592790,27,3425352,19,509541,51,3955798,1630,1269587,2106,2049.57,19681145,14476665,0
2023-02-17,397,7499100,312,6518233,5,592795,24,3425376,32,509573,63,3955861,1696,1271283,2266,1950,19683411,14477179,0
2023-02-18,199,7499299,117,6518350,5,592800,13,3425389,4,509577,18,3955879,1003,1272286,1189,1882.57,19684600,14477348,0
2023-02-19,120,7499419,55,6518405,2,592802,6,3425395,6,509583,14,3955893,541,1272827,612,1853.14,19685212,14477407,0
2023-02-20,314,7499733,160,6518565,3,592805,10,3425405,17,509600,28,3955921,1159,1273986,1424,1725.29,19686636,14477645,0
2023-02-21,379,7500112,285,6518850,5,592810,25,3425430,34,509634,64,3955985,1534,1275520,2071,1704.29,19688707,14478123,0
2023-02-22,397,7500509,276,6519126,8,592818,39,3425469,26,509660,69,3956054,1639,1277159,2169,1691,19690876,14478588,0
2023-02-23,388,7500897,251,6519377,10,592828,26,3425495,31,509691,71,3956125,1478,1278637,2022,1679,19692898,14479075,0
2023-02-24,366,7501263,325,6519702,4,592832,30,3425525,26,509717,63,3956188,1737,1280374,2298,1683.57,19695196,14479580,0
2023-02-25,163,7501426,123,6519825,2,592834,9,3425534,13,509730,24,3956212,778,1281152,973,1652.71,19696169,14479753,0
2023-02-26,92,7501518,48,6519873,0,592834,8,3425542,5,509735,17,3956229,468,1281620,535,1641.71,19696704,14479807,0
2023-02-27,377,7501895,300,6520173,4,592838,31,3425573,20,509755,54,3956283,1490,1283110,2010,1725.43,19698714,14480276,0
2023-02-28,356,7502251,238,6520411,8,592846,30,3425603,27,509782,62,3956345,1332,1284442,1814,1688.71,19700528,14480701,0
2023-03-01,387,7502638,289,6520700,7,592853,25,3425628,20,509802,51,3956396,1444,1285886,1980,1661.71,19702508,14481192,0
2023-03-02,373,7503011,293,6520993,9,592862,20,3425648,23,509825,50,3956446,1329,1287215,1870,1640,19704378,14481690,0
2023-03-03,404,7503415,317,6521310,10,592872,26,3425674,25,509850,58,3956504,1599,1288814,2193,1625,19706571,14482233,0
2023-03-04,199,7503614,122,6521432,4,592876,10,3425684,16,509866,28,3956532,795,1289609,1028,1632.86,19707599,14482440,0
2023-03-05,125,7503739,60,6521492,2,592878,4,3425688,6,509872,14,3956546,464,1290073,558,1636.14,19708157,14482524,0
2023-03-06,402,7504141,264,6521756,12,592890,22,3425710,16,509888,41,3956587,1385,1291458,1888,1618.71,19710045,14482989,0
2023-03-07,362,7504503,244,6522000,5,592895,22,3425732,30,509918,61,3956648,1304,1292762,1769,1612.29,19711814,14483402,0
2023-03-08,370,7504873,245,6522245,3,592898,34,3425766,30,509948,68,3956716,1339,1294101,1835,1591.57,19713649,14483834,0
2023-03-09,360,7505233,242,6522487,4,592902,16,3425782,24,509972,46,3956762,1262,1295363,1747,1574,19715396,14484279,0
2023-03-10,301,7505534,282,6522769,3,592905,9,3425791,19,509991,36,3956798,1394,1296757,1847,1524.57,19717243,14484704,0
2023-03-11,188,7505722,88,6522857,3,592908,18,3425809,4,509995,23,3956821,687,1297444,872,1502.29,19718115,14484867,0
2023-03-12,109,7505831,47,6522904,1,592909,4,3425813,7,510002,17,3956838,435,1297879,517,1496.43,19718632,14484938,0
2023-03-13,332,7506163,200,6523104,7,592916,11,3425824,13,510015,25,3956863,1126,1299005,1519,1443.71,19720151,14485307,0
2023-03-14,283,7506446,181,6523285,5,592921,15,3425839,11,510026,32,3956895,1060,1300065,1412,1392.71,19721563,14485633,0
2023-03-15,329,7506775,269,6523554,3,592924,9,3425848,13,510039,23,3956918,1227,1301292,1676,1370,19723239,14486060,0
2023-03-16,302,7507077,238,6523792,9,592933,14,3425862,15,510054,35,3956953,1159,1302451,1580,1346.14,19724819,14486452,0
2023-03-17,327,7507404,264,6524056,5,592938,20,3425882,8,510062,29,3956982,1267,1303718,1698,1324.86,19726517,14486855,0
2023-03-18,158,7507562,100,6524156,2,592940,8,3425890,5,510067,14,3956996,668,1304386,832,1319.14,19727349,14487006,0
2023-03-19,114,7507676,56,6524212,1,592941,3,3425893,3,510070,9,3957005,365,1304751,450,1309.57,19727799,14487085,0
2023-03-20,340,7508016,211,6524423,7,592948,29,3425922,15,510085,45,3957050,1212,1305963,1608,1322.29,19729407,14487437,0
2023-03-21,341,7508357,191,6524614,7,592955,22,3425944,18,510103,42,3957092,1122,1307085,1529,1339,19730936,14487804,0
2023-03-22,316,7508673,226,6524840,6,592961,12,3425956,11,510114,25,3957117,1125,1308210,1524,1317.29,19732460,14488180,0
2023-03-23,269,7508942,203,6525043,1,592962,20,3425976,12,510126,35,3957152,1009,1309219,1400,1291.57,19733860,14488539,0
2023-03-24,312,7509254,255,6525298,8,592970,19,3425995,18,510144,40,3957192,1120,1310339,1582,1275,19735442,14488964,0
2023-03-25,129,7509383,117,6525415,1,592971,9,3426004,9,510153,18,3957210,587,1310926,735,1261.14,19736177,14489094,0
2023-03-26,80,7509463,41,6525456,2,592973,4,3426008,4,510157,9,3957219,351,1311277,410,1255.43,19736587,14489145,0
2023-03-27,284,7509747,232,6525688,3,592976,14,3426022,11,510168,26,3957245,1001,1312278,1397,1225.29,19737984,14489516,0
2023-03-28,282,7510029,181,6525869,10,592986,20,3426042,9,510177,32,3957277,1008,1313286,1362,1201.43,19739346,14489841,0
2023-03-29,298,7510327,187,6526056,5,592991,13,3426055,9,510186,22,3957299,1055,1314341,1414,1185.71,19740760,14490178,0
2023-03-30,258,7510585,183,6526239,2,592993,17,3426072,10,510196,31,3957330,959,1315300,1307,1172.43,19742067,14490499,0
2023-03-31,296,7510881,259,6526498,7,593000,22,3426094,20,510216,43,3957373,1015,1316315,1477,1157.43,19743544,14490919,0
2023-04-01,121,7511002,66,6526564,3,593003,8,3426102,5,510221,15,3957388,526,1316841,653,1145.71,19744197,14491033,0
2023-04-02,92,7511094,35,6526599,0,593003,6,3426108,3,510224,10,3957398,271,1317112,338,1135.43,19744535,14491091,0
2023-04-03,275,7511369,154,6526753,8,593011,19,3426127,15,510239,40,3957438,885,1317997,1202,1107.57,19745737,14491374,0
2023-04-04,283,7511652,187,6526940,3,593014,13,3426140,10,510249,26,3957464,862,1318859,1209,1085.71,19746946,14491698,0
2023-04-05,269,7511921,152,6527092,8,593022,17,3426157,7,510256,26,3957490,981,1319840,1273,1065.57,19748219,14491966,0
2023-04-06,341,7512262,157,6527249,9,593031,17,3426174,5,510261,22,3957512,951,1320791,1284,1062.29,19749503,14492277,0
2023-04-07,247,7512509,146,6527395,5,593036,12,3426186,8,510269,20,3957532,747,1321538,1043,1000.29,19750546,14492553,0
2023-04-08,173,7512682,104,6527499,1,593037,5,3426191,10,510279,16,3957548,553,1322091,690,1005.57,19751236,14492675,0
2023-04-09,68,7512750,23,6527522,0,593037,0,3426191,4,510283,4,3957552,203,1322294,245,992.29,19751481,14492713,0
2023-04-10,285,7513035,180,6527702,6,593043,19,3426210,9,510292,28,3957580,884,1323178,1211,993.57,19752692,14493012,0
2023-04-11,271,7513306,151,6527853,5,593048,15,3426225,9,510301,27,3957607,908,1324086,1209,993.57,19753901,14493289,0
2023-04-12,270,7513576,164,6528017,5,593053,15,3426240,8,510309,25,3957632,812,1324898,1148,975.71,19755049,14493602,0
2023-04-13,254,7513830,136,6528153,8,593061,12,3426252,7,510316,20,3957652,834,1325732,1142,955.43,19756191,14493891,0
2023-04-14,241,7514071,198,6528351,2,593063,6,3426258,10,510326,18,3957670,841,1326573,1167,973.14,19757358,14494201,0
2023-04-15,121,7514192,94,6528445,6,593069,3,3426261,7,510333,11,3957681,408,1326981,553,953.57,19757911,14494336,0
2023-04-16,75,7514267,31,6528476,0,593069,0,3426261,1,510334,1,3957682,263,1327244,304,962,19758215,14494376,0
2023-04-17,233,7514500,138,6528614,3,593072,7,3426268,3,510337,10,3957692,709,1327953,992,930.71,19759207,14494649,0
2023-04-18,212,7514712,129,6528743,6,593078,9,3426277,10,510347,20,3957712,733,1328686,961,895.29,19760168,14494858,0
2023-04-19,198,7514910,115,6528858,5,593083,6,3426283,9,510356,15,3957727,808,1329494,965,869.14,19761133,14495000,0
2023-04-20,230,7515140,143,6529001,2,593085,14,3426297,19,510375,35,3957762,909,1330403,1073,859.29,19762206,14495131,0
2023-04-21,231,7515371,148,6529149,6,593091,14,3426311,9,510384,25,3957787,1093,1331496,1216,866.29,19763422,14495231,0
2023-04-22,107,7515478,65,6529214,3,593094,9,3426320,4,510388,14,3957801,472,1331968,540,864.43,19763962,14495286,0
2023-04-23,73,7515551,47,6529261,1,593095,2,3426322,2,510390,5,3957806,281,1332249,310,865.29,19764272,14495311,0
2023-04-24,231,7515782,159,6529420,2,593097,11,3426333,7,510397,21,3957827,1007,1333256,1116,883,19765388,14495402,0
2023-04-25,243,7516025,146,6529566,6,593103,12,3426345,12,510409,27,3957854,1055,1334311,1159,911.29,19766547,14495482,0
2023-04-26,220,7516245,133,6529699,5,593108,6,3426351,5,510414,13,3957867,950,1335261,1018,918.86,19767565,14495539,0
2023-04-27,277,7516522,170,6529869,1,593109,11,3426362,18,510432,31,3957898,1064,1336325,1153,930.29,19768718,14495599,0
2023-04-28,250,7516772,189,6530058,2,593111,11,3426373,16,510448,32,3957930,1142,1337467,1235,933,19769953,14495665,0
2023-04-29,141,7516913,67,6530125,2,593113,4,3426377,6,510454,10,3957940,519,1337986,573,937.71,19770526,14495709,0
2023-04-30,97,7517010,29,6530154,1,593114,6,3426383,3,510457,10,3957950,307,1338293,327,940.14,19770853,14495720,0
2023-05-01,304,7517314,160,6530314,2,593116,9,3426392,9,510466,20,3957970,1076,1339369,1162,946.71,19772015,14495788,0
2023-05-02,250,7517564,145,6530459,3,593119,11,3426403,6,510472,19,3957989,1011,1340380,1066,933.43,19773081,14495826,0
2023-05-03,254,7517818,148,6530607,1,593120,13,3426416,10,510482,24,3958013,967,1341347,1042,936.86,19774123,14495878,0
2023-05-04,238,7518056,165,6530772,0,593120,12,3426428,8,510490,24,3958037,1053,1342400,1124,932.71,19775247,14495929,0
2023-05-05,304,7518360,160,6530932,1,593121,6,3426434,11,510501,18,3958055,1121,1343521,1171,923.57,19776418,14495962,0
2023-05-06,132,7518492,79,6531011,0,593121,13,3426447,8,510509,23,3958078,494,1344015,557,921.29,19776975,14496004,0
2023-05-07,77,7518569,36,6531047,0,593121,0,3426447,6,510515,7,3958085,296,1344311,311,919,19777286,14496013,0
2023-05-08,263,7518832,150,6531197,0,593121,8,3426455,10,510525,18,3958103,1003,1345314,1054,903.57,19778340,14496046,0
2023-05-09,251,7519083,129,6531326,0,593121,5,3426460,4,510529,13,3958116,990,1346304,1027,898,19779367,14496074,0
2023-05-10,242,7519325,129,6531455,1,593122,6,3426466,14,510543,21,3958137,1041,1347345,1099,906.14,19780466,14496112,0
2023-05-11,226,7519551,134,6531589,1,593123,11,3426477,23,510566,39,3958176,1036,1348381,1111,904.29,19781577,14496153,0
2023-05-12,166,7519717,133,6531722,1,593124,4,3426481,10,510576,17,3958193,876,1349257,912,867.29,19782489,14496175,0
2023-05-13,97,7519814,50,6531772,0,593124,1,3426482,5,510581,6,3958199,387,1349644,410,846.29,19782899,14496192,0
2023-05-14,59,7519873,23,6531795,0,593124,2,3426484,0,510581,3,3958202,193,1349837,203,830.86,19783102,14496200,0
2023-05-15,207,7520080,131,6531926,0,593124,4,3426488,9,510590,15,3958217,834,1350671,889,807.29,19783991,14496242,0
2023-05-16,251,7520331,110,6532036,0,593124,6,3426494,7,510597,14,3958231,800,1351471,848,781.71,19784839,14496277,0
2023-05-17,211,7520542,109,6532145,0,593124,4,3426498,5,510602,11,3958242,881,1352352,929,757.43,19785768,14496316,0
2023-05-18,218,7520760,106,6532251,0,593124,12,3426510,14,510616,29,3958271,755,1353107,815,715.14,19786583,14496350,0
2023-05-19,190,7520950,125,6532376,0,593124,9,3426519,10,510626,21,3958292,789,1353896,844,705.43,19787427,14496386,0
2023-05-20,125,7521075,44,6532420,0,593124,4,3426523,5,510631,10,3958302,350,1354246,394,703.14,19787821,14496421,0
2023-05-21,62,7521137,18,6532438,0,593124,2,3426525,1,510632,4,3958306,180,1354426,195,702,19788016,14496433,0
2023-05-22,219,7521356,99,6532537,0,593124,5,3426530,3,510635,8,3958314,791,1355217,819,692,19788835,14496453,0
2023-05-23,213,7521569,98,6532635,0,593124,12,3426542,6,510641,19,3958333,708,1355925,761,679.57,19789596,14496488,0
2023-05-24,213,7521782,128,6532763,2,593126,11,3426553,8,510649,22,3958355,811,1356736,862,670,19790458,14496520,0
2023-05-25,184,7521966,91,6532854,1,593127,4,3426557,6,510655,10,3958365,705,1357441,728,657.57,19791186,14496533,0
2023-05-26,177,7522143,140,6532994,0,593127,8,3426565,6,510661,15,3958380,739,1358180,785,649.14,19791971,14496565,0
2023-05-27,105,7522248,46,6533040,0,593127,5,3426570,6,510667,14,3958394,336,1358516,368,645.43,19792339,14496586,0
2023-05-28,52,7522300,15,6533055,1,593128,0,3426570,0,510667,0,3958394,186,1358702,191,644.86,19792530,14496591,0
2023-05-29,11,7522311,10,6533065,0,593128,1,3426571,0,510667,1,3958395,36,1358738,43,534,19792573,14496597,0
2023-05-30,216,7522527,111,6533176,0,593128,4,3426575,2,510669,7,3958402,790,1359528,816,541.86,19793389,14496617,0
2023-05-31,178,7522705,113,6533289,0,593128,8,3426583,2,510671,10,3958412,711,1360239,737,524,19794126,14496633,0
2023-06-01,176,7522881,89,6533378,1,593129,1,3426584,6,510677,7,3958419,677,1360916,695,519.29,19794821,14496644,0
2023-06-02,222,7523103,102,6533480,0,593129,7,3426591,2,510679,9,3958428,736,1361652,776,518,19795597,14496675,120000
2023-06-03,89,7523192,36,6533516,0,593129,2,3426593,0,510679,2,3958430,339,1361991,360,516.86,19795957,14496694,120000
2023-06-04,65,7523257,16,6533532,0,593129,2,3426595,3,510682,5,3958435,201,1362192,212,519.86,19796169,14496700,120000
2023-06-05,194,7523451,92,6533624,0,593129,4,3426599,4,510686,10,3958445,696,1362888,725,617.29,19796894,14496721,120000
2023-06-06,159,7523610,97,6533721,0,593129,8,3426607,3,510689,12,3958457,655,1363543,678,597.57,19797572,14496733,120000
2023-06-07,170,7523780,92,6533813,2,593131,6,3426613,7,510696,13,3958470,689,1364232,714,594.29,19798286,14496745,120000
2023-06-08,74,7523854,41,6533854,0,593131,3,3426616,9,510705,12,3958482,278,1364510,303,538.29,19798589,14496758,120000
