"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2022-01-26,"Flushing/Murray Hill","Queens","11354","11354","'5-17",5207.36,672,4289,4961,12.9,82.36,95.27
2022-01-26,"Flushing/Murray Hill/Queensboro Hill","Queens","11355","11355","'5-17",8323.82,1250,8505,9755,15.02,102.18,117.19
2022-01-26,"College Point","Queens","11356","11356","'5-17",3474.33,562,2787,3349,16.18,80.22,96.39
2022-01-26,"Whitestone","Queens","11357","11357","'5-17",5131.55,443,3062,3505,8.63,59.67,68.3
2022-01-26,"Auburndale/Murray Hill","Queens","11358","11358","'5-17",4526.12,522,3563,4085,11.53,78.72,90.25
2022-01-26,"Bayside (North)","Queens","11360","11360","'5-17",1984.27,159,1342,1501,8.01,67.63,75.65
2022-01-26,"Bayside (North)/Bayside (South)","Queens","11361","11361","'5-17",3440.33,329,2658,2987,9.56,77.26,86.82
2022-01-26,"Douglaston-Little Neck","Queens","11362","11362","'5-17",2479,198,1538,1736,7.99,62.04,70.03
2022-01-26,"Douglaston-Little Neck","Queens","11363","11363","'5-17",1028.82,77,646,723,7.48,62.79,70.27
2022-01-26,"Bayside (South)/Oakland Gardens","Queens","11364","11364","'5-17",4978.54,423,3632,4055,8.5,72.95,81.45
2022-01-26,"Auburndale/Fresh Meadows/Pomonok/Utopia","Queens","11365","11365","'5-17",6263.31,666,4325,4991,10.63,69.05,79.69
2022-01-26,"Fresh Meadows/Hillcrest","Queens","11366","11366","'5-17",1911.71,171,1066,1237,8.94,55.76,64.71
2022-01-26,"Kew Gardens Hills/Pomonok","Queens","11367","11367","'5-17",5795.66,501,2552,3053,8.64,44.03,52.68
2022-01-26,"Corona/North Corona","Queens","11368","11368","'5-17",17810.74,3519,13025,16544,19.76,73.13,92.89
2022-01-26,"Airport/East Elmhurst","Queens","11369","11369","'5-17",5208.21,922,3701,4623,17.7,71.06,88.76
2022-01-26,"Jackson Heights/Rikers Island","Queens","11370","11370","'5-17",3661.77,504,2363,2867,13.76,64.53,78.3
2022-01-26,"Jackson Heights","Queens","11372","11372","'5-17",7324.45,1309,6621,7930,17.87,90.4,108.27
2022-01-26,"Elmhurst","Queens","11373","11373","'5-17",11663.99,1993,10547,12540,17.09,90.42,107.51
2022-01-26,"Rego Park","Queens","11374","11374","'5-17",4195.46,436,2617,3053,10.39,62.38,72.77
