"AGE_GROUP","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL","DIFF"
"Children (0-17)",11.36,6.52,88.64
"Children (5-17)",16.39,7.9,83.61
"Children (13-17)",28.89,8.84,71.11
"Adults (18+)",47.86,18.7,52.14
"65 and Older",59.99,29,40.01
"All ages",40.4,16.21,59.6
