"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
2023-02-09,"Asian","All ages","176055","1358135"
2023-02-09,"Black","All ages","121579","1255161"
2023-02-09,"Hispanic/Latino","All ages","188377","2090040"
2023-02-09,"Multiracial","All ages","1554","11266"
2023-02-09,"Native American/Alaska Native","All ages","3902","25357"
2023-02-09,"Native Hawaiian/Pacific Islander","All ages","2042","12840"
2023-02-09,"Other","All ages","72086","410311"
2023-02-09,"Unknown","All ages","83330","454769"
2023-02-09,"White","All ages","614373","1913796"
