"BOROUGH","POP_DENOMINATOR","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
"CITYWIDE",8336817,6765028,7561739,3365737,1315429,81.15,90.7,40.37,15.78
"BRONX",1418207,1096958,1223009,450343,145745,77.35,86.24,31.75,10.28
"BROOKLYN",2559903,1906529,2111925,919154,342122,74.48,82.5,35.91,13.36
"MANHATTAN",1628706,1415872,1654994,825492,461638,86.93,101.61,50.68,28.34
"QUEENS",2253858,1979669,2175839,1000443,317074,87.83,96.54,44.39,14.07
"STATEN ISLAND",476143,366000,395972,170305,48850,76.87,83.16,35.77,10.26
"Data as of:  June 01",,,,,,,,,
