"BOROUGH","POP_DENOMINATOR_5_17","COUNT_PARTIALLY_CUMULATIVE_5_17","COUNT_FULLY_CUMULATIVE_5_17","COUNT_1PLUS_CUMULATIVE_5_17","COUNT_ADDITIONAL_CUMULATIVE_5_17","PERC_PARTIALLY_5_17","PERC_FULLY_5_17","PERC_1PLUS_5_17","PERC_ADDITIONAL_5_17","POP_DENOMINATOR_13_17","COUNT_PARTIALLY_CUMULATIVE_13_17","COUNT_FULLY_CUMULATIVE_13_17","COUNT_1PLUS_CUMULATIVE_13_17","COUNT_ADDITIONAL_CUMULATIVE_13_17","PERC_PARTIALLY_13_17","PERC_FULLY_13_17","PERC_1PLUS_13_17","PERC_ADDITIONAL_13_17"
"CITYWIDE",1180404.18,"99850","688423","788273",116047,8.46,58.32,66.78,9.83,432845.48,"42479","344694","387173",98779,9.81,79.63,89.45,22.82
"BRONX",246821.43,"22739","134270","157009",14938,9.21,54.4,63.61,6.05,92110.57,"8934","71808","80742",12906,9.7,77.96,87.66,14.01
"BROOKLYN",392137.22,"24095","191111","215206",31035,6.14,48.74,54.88,7.91,140161.79,"10064","94440","104504",26102,7.18,67.38,74.56,18.62
"MANHATTAN",155113.76,"24137","115973","140110",27223,15.56,74.77,90.33,17.55,55915.07,"12250","52041","64291",22402,21.91,93.07,114.98,40.06
"QUEENS",310710.83,"24317","211628","235945",37030,7.83,68.11,75.94,11.92,114792.04,"9319","105897","115216",32168,8.12,92.25,100.37,28.02
"STATEN ISLAND",75620.94,"4562","35441","40003",5821,6.03,46.87,52.9,7.7,29866,"1912","20508","22420",5201,6.4,68.67,75.07,17.41
"Updated:  April 19, at 9:30 a.m.",,,,,,,,,,,,,,,,,,
