"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Lenox Hill/Upper East Side","Manhattan","10065","10065","18+",24466.3,3784,23315,27099,16121,10279,15.47,95.29,110.76,65.89,42.01
2023-07-13,"Lincoln Square","Manhattan","10069","10069","18+",5375.84,702,5409,6111,3730,2128,13.06,100.62,113.68,69.38,39.58
2023-07-13,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","18+",19863.75,2409,20109,22518,14720,9272,12.13,101.23,113.36,74.1,46.68
2023-07-13,"Upper East Side/Yorkville","Manhattan","10128","10128","18+",49297.99,5317,46435,51752,34057,20530,10.79,94.19,104.98,69.08,41.64
2023-07-13,"Battery Park City","Manhattan","10280","10280","18+",7517.17,912,6419,7331,4548,2564,12.13,85.39,97.52,60.5,34.11
2023-07-13,"Battery Park City","Manhattan","10282","10282","18+",4396.18,543,3705,4248,2573,1465,12.35,84.28,96.63,58.53,33.32
2023-07-13,"Silver Lake/St. George","Staten Island","10301","10301","18+",30789.03,2689,27486,30175,14077,4773,8.73,89.27,98.01,45.72,15.5
2023-07-13,"Elm Park","Staten Island","10302","10302","18+",13841.82,1499,13065,14564,5304,1393,10.83,94.39,105.22,38.32,10.06
2023-07-13,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","10303","18+",19271.57,1648,17600,19248,7860,2050,8.55,91.33,99.88,40.79,10.64
2023-07-13,"New Dorp/Todt Hill","Staten Island","10304","10304","18+",32365.49,2789,29894,32683,15022,4279,8.62,92.36,100.98,46.41,13.22
2023-07-13,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","10305","18+",34316.79,2488,31158,33646,15684,4309,7.25,90.8,98.05,45.7,12.56
2023-07-13,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island","10306","10306","18+",42372.41,2470,39726,42196,20157,5558,5.83,93.75,99.58,47.57,13.12
2023-07-13,"Tottenville","Staten Island","10307","10307","18+",11247.29,504,8906,9410,3916,975,4.48,79.18,83.66,34.82,8.67
2023-07-13,"Great Kills","Staten Island","10308","10308","18+",23778.46,1120,18822,19942,9275,2683,4.71,79.16,83.87,39.01,11.28
2023-07-13,"Charleston/Prince's Bay/Woodrow","Staten Island","10309","10309","18+",25505.78,1349,21352,22701,9654,2582,5.29,83.71,89,37.85,10.12
2023-07-13,"Port Richmond/Randall Manor/West Brighton","Staten Island","10310","10310","18+",17381.07,1504,16795,18299,8032,2406,8.65,96.63,105.28,46.21,13.84
2023-07-13,"Annadale/Rossville","Staten Island","10312","10312","18+",48423.66,2367,41060,43427,20315,5735,4.89,84.79,89.68,41.95,11.84
2023-07-13,"Bloomfield/Freshkills Park","Staten Island","10314","10314","18+",73874.68,4538,61097,65635,32345,10018,6.14,82.7,88.85,43.78,13.56
