"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-08-10","Asian","65+","12558","145377"
"2021-08-10","Black","65+","9796","157091"
"2021-08-10","Hispanic/Latino","65+","10706","176555"
"2021-08-10","Multiracial","65+","76","593"
"2021-08-10","Native American/Alaska Native","65+","375","2645"
"2021-08-10","Native Hawaiian/Pacific Islander","65+","136","1142"
"2021-08-10","Other","65+","25855","107307"
"2021-08-10","Unknown","65+","16344","90135"
"2021-08-10","White","65+","97778","310320"
