"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2022-07-17","Asian","18-64","123472","955765"
"2022-07-17","Black","18-64","90890","864689"
"2022-07-17","Hispanic/Latino","18-64","143528","1498716"
"2022-07-17","Multiracial","18-64","957","4996"
"2022-07-17","Native American/Alaska Native","18-64","2498","17077"
"2022-07-17","Native Hawaiian/Pacific Islander","18-64","1479","9304"
"2022-07-17","Other","18-64","60458","351196"
"2022-07-17","Unknown","18-64","68355","363763"
"2022-07-17","White","18-64","400554","1306923"
