"AGE_GROUP","PERC_BIVALENT_ADDITIONAL","DIFF"
"Children (0-17)",5.56,94.44
"Children (5-17)",7.07,92.93
"Children (13-17)",7.94,92.06
"Adults (18+)",18.23,81.77
"65 and Older",28.35,71.65
"All ages",15.64,84.36
