"BOROUGH","POP_DENOMINATOR","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL"
"CITYWIDE",6632697,5910766,6555169,3163279,89.12,98.83,47.69
"BRONX",1071188,937654,1035365,421094,87.53,96.66,39.31
"BROOKLYN",1984838,1665841,1835665,862796,83.93,92.48,43.47
"MANHATTAN",1397449,1251135,1442502,776060,89.53,103.22,55.53
"QUEENS",1806052,1731701,1892782,942334,95.88,104.8,52.18
"STATEN ISLAND",373170,324435,348855,160995,86.94,93.48,43.14
"Data as of:  November 24",,,,,,,
