"BOROUGH","POP_DENOMINATOR","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL"
"CITYWIDE",1280405,1074300,1148798,761507,83.9,89.72,59.47
"BRONX",188766,161383,171707,109184,85.49,90.96,57.84
"BROOKLYN",367884,287013,306390,189886,78.02,83.28,51.62
"MANHATTAN",276121,238032,256978,185185,86.21,93.07,67.07
"QUEENS",368333,317585,339370,228697,86.22,92.14,62.09
"STATEN ISLAND",79301,70287,74353,48555,88.63,93.76,61.23
"Updated:  August 10, at 9:30 a.m.",,,,,,,
