"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2022-05-08","Asian","0-17","12438","163915"
"2022-05-08","Black","0-17","6531","139461"
"2022-05-08","Hispanic/Latino","0-17","13731","284457"
"2022-05-08","Multiracial","0-17","145","2668"
"2022-05-08","Native American/Alaska Native","0-17","165","2741"
"2022-05-08","Native Hawaiian/Pacific Islander","0-17","100","1151"
"2022-05-08","Other","0-17","3863","34571"
"2022-05-08","Unknown","0-17","2533","31139"
"2022-05-08","White","0-17","20091","133365"
