"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-06,"Lenox Hill/Upper East Side","Manhattan","10065","10065","18+",24466.3,1642,18005,19647,6.71,73.59,80.3
2021-06-06,"Lincoln Square","Manhattan","10069","10069","18+",5375.84,434,4169,4603,8.07,77.55,85.62
2021-06-06,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","18+",19863.75,1484,16239,17723,7.47,81.75,89.22
2021-06-06,"Upper East Side/Yorkville","Manhattan","10128","10128","18+",49297.99,3051,36020,39071,6.19,73.07,79.25
2021-06-06,"Battery Park City","Manhattan","10280","10280","18+",7517.17,617,4869,5486,8.21,64.77,72.98
2021-06-06,"Battery Park City","Manhattan","10282","10282","18+",4396.18,361,2752,3113,8.21,62.6,70.81
2021-06-06,"Silver Lake/St. George","Staten Island","10301","10301","18+",30789.03,2064,16948,19012,6.7,55.05,61.75
2021-06-06,"Elm Park","Staten Island","10302","10302","18+",13841.82,1068,6809,7877,7.72,49.19,56.91
2021-06-06,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","10303","18+",19271.57,1619,8989,10608,8.4,46.64,55.04
2021-06-06,"New Dorp/Todt Hill","Staten Island","10304","10304","18+",32365.49,2553,17734,20287,7.89,54.79,62.68
2021-06-06,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","10305","18+",34316.79,2661,18975,21636,7.75,55.29,63.05
2021-06-06,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island","10306","10306","18+",42372.41,2980,24514,27494,7.03,57.85,64.89
2021-06-06,"Tottenville","Staten Island","10307","10307","18+",11247.29,682,5121,5803,6.06,45.53,51.59
2021-06-06,"Great Kills","Staten Island","10308","10308","18+",23778.46,1359,11652,13011,5.72,49,54.72
2021-06-06,"Charleston/Prince's Bay/Woodrow","Staten Island","10309","10309","18+",25505.78,1656,12292,13948,6.49,48.19,54.69
2021-06-06,"Port Richmond/Randall Manor/West Brighton","Staten Island","10310","10310","18+",17381.07,1318,9812,11130,7.58,56.45,64.04
2021-06-06,"Annadale/Rossville","Staten Island","10312","10312","18+",48423.66,2933,25478,28411,6.06,52.61,58.67
2021-06-06,"Bloomfield/Freshkills Park","Staten Island","10314","10314","18+",73874.68,4670,39267,43937,6.32,53.15,59.48
2021-06-06,"Concourse/Melrose","Bronx","10451","10451","18+",35946.71,2975,18065,21040,8.28,50.25,58.53
2021-06-06,"Concourse/Highbridge","Bronx","10452","10452","18+",54805.81,5002,26486,31488,9.13,48.33,57.45
2021-06-06,"Morris Heights/Mount Hope/University Heights","Bronx","10453","10453","18+",57359.96,5224,25008,30232,9.11,43.6,52.71
2021-06-06,"Mott Haven/Port Morris","Bronx","10454","10454","18+",27397.39,2270,12341,14611,8.29,45.04,53.33
2021-06-06,"Mott Haven","Bronx","10455","10455","18+",30573.43,2751,13576,16327,9,44.4,53.4
