DATE,NEIGHBORHOOD_NAME,BOROUGH,MODZCTA,Label,AGE_GROUP,POP_DENOMINATOR,COUNT_PARTIALLY_CUMULATIVE,COUNT_FULLY_CUMULATIVE,COUNT_1PLUS_CUMULATIVE,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS
2/13/2022,Battery Park City,Manhattan,10280,10280,'5-17,917.98,77,790,867,8.39,86.06,94.45
2/13/2022,Battery Park City,Manhattan,10282,10282,'5-17,552.06,106,852,958,19.2,154.33,173.53
2/13/2022,Silver Lake/St. George,Staten Island,10301,10301,'5-17,5847.41,617,2979,3596,10.55,50.95,61.5
2/13/2022,Elm Park,Staten Island,10302,10302,'5-17,3334.03,428,1767,2195,12.84,53,65.84
2/13/2022,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,10303,10303,'5-17,5349.25,457,2276,2733,8.54,42.55,51.09
2/13/2022,New Dorp/Todt Hill,Staten Island,10304,10304,'5-17,6972.81,677,3550,4227,9.71,50.91,60.62
2/13/2022,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,10305,10305,'5-17,6177.96,435,3009,3444,7.04,48.71,55.75
2/13/2022,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,10306,10306,'5-17,7711.21,489,3693,4182,6.34,47.89,54.23
2/13/2022,Tottenville,Staten Island,10307,10307,'5-17,2838.71,80,695,775,2.82,24.48,27.3
2/13/2022,Great Kills,Staten Island,10308,10308,'5-17,4496.35,208,1563,1771,4.63,34.76,39.39
2/13/2022,Charleston/Prince's Bay/Woodrow,Staten Island,10309,10309,'5-17,5513.32,205,1861,2066,3.72,33.75,37.47
2/13/2022,Port Richmond/Randall Manor/West Brighton,Staten Island,10310,10310,'5-17,4439.15,466,2253,2719,10.5,50.75,61.25
2/13/2022,Annadale/Rossville,Staten Island,10312,10312,'5-17,9342.11,411,3410,3821,4.4,36.5,40.9
2/13/2022,Bloomfield/Freshkills Park,Staten Island,10314,10314,'5-17,13598.64,808,6051,6859,5.94,44.5,50.44
2/13/2022,Concourse/Melrose,Bronx,10451,10451,'5-17,8130.45,1133,4513,5646,13.94,55.51,69.44
2/13/2022,Concourse/Highbridge,Bronx,10452,10452,'5-17,14367.57,1645,6981,8626,11.45,48.59,60.04
2/13/2022,Morris Heights/Mount Hope/University Heights,Bronx,10453,10453,'5-17,15131.27,1734,6954,8688,11.46,45.96,57.42
