"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-27,"Lenox Hill/Upper East Side","Manhattan","10065","10065","All ages",27899.1,4438,26365,30803,17208,11069,15.91,94.5,110.41,61.68,39.68
2023-07-27,"Lincoln Square","Manhattan","10069","10069","All ages",6284.56,861,6669,7530,4256,2472,13.7,106.12,119.82,67.72,39.33
2023-07-27,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","All ages",23044.5,2761,23309,26070,16102,10131,11.98,101.15,113.13,69.87,43.96
2023-07-27,"Upper East Side/Yorkville","Manhattan","10128","10128","All ages",58558.8,6027,53232,59259,36869,22316,10.29,90.9,101.2,62.96,38.11
2023-07-27,"Battery Park City","Manhattan","10280","10280","All ages",9346.22,1023,7440,8463,4933,2900,10.95,79.6,90.55,52.78,31.03
2023-07-27,"Battery Park City","Manhattan","10282","10282","All ages",5571.94,690,4789,5479,2932,1737,12.38,85.95,98.33,52.62,31.17
2023-07-27,"Silver Lake/St. George","Staten Island","10301","10301","All ages",38904.96,3283,31059,34342,14858,5056,8.44,79.83,88.27,38.19,13
2023-07-27,"Elm Park","Staten Island","10302","10302","All ages",18484.97,1902,15152,17054,5634,1489,10.29,81.97,92.26,30.48,8.06
2023-07-27,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","10303","All ages",26512.59,2082,20333,22415,8370,2205,7.85,76.69,84.54,31.57,8.32
2023-07-27,"New Dorp/Todt Hill","Staten Island","10304","10304","All ages",41886.87,3435,34226,37661,15935,4658,8.2,81.71,89.91,38.04,11.12
2023-07-27,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","10305","All ages",42856.19,2908,34692,37600,16497,4648,6.79,80.95,87.74,38.49,10.85
2023-07-27,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island","10306","10306","All ages",52806.81,2936,44114,47050,21182,5879,5.56,83.54,89.1,40.11,11.13
2023-07-27,"Tottenville","Staten Island","10307","10307","All ages",14912.16,576,9733,10309,4087,1020,3.86,65.27,69.13,27.41,6.84
2023-07-27,"Great Kills","Staten Island","10308","10308","All ages",29820.74,1327,20681,22008,9726,2846,4.45,69.35,73.8,32.61,9.54
2023-07-27,"Charleston/Prince's Bay/Woodrow","Staten Island","10309","10309","All ages",32939.56,1546,23493,25039,10145,2757,4.69,71.32,76.01,30.8,8.37
2023-07-27,"Port Richmond/Randall Manor/West Brighton","Staten Island","10310","10310","All ages",23441.55,1931,19478,21409,8582,2586,8.24,83.09,91.33,36.61,11.03
2023-07-27,"Annadale/Rossville","Staten Island","10312","10312","All ages",61052.73,2787,45059,47846,21339,6010,4.56,73.8,78.37,34.95,9.84
2023-07-27,"Bloomfield/Freshkills Park","Staten Island","10314","10314","All ages",92523.87,5366,68218,73584,34058,10620,5.8,73.73,79.53,36.81,11.48
2023-07-27,"Concourse/Melrose","Bronx","10451","10451","All ages",47367.12,4877,40823,45700,16089,5405,10.3,86.18,96.48,33.97,11.41
2023-07-27,"Concourse/Highbridge","Bronx","10452","10452","All ages",75212.41,7407,60667,68074,22407,6759,9.85,80.66,90.51,29.79,8.99
2023-07-27,"Morris Heights/Mount Hope/University Heights","Bronx","10453","10453","All ages",78677.58,7851,60311,68162,21075,5534,9.98,76.66,86.63,26.79,7.03
2023-07-27,"Mott Haven/Port Morris","Bronx","10454","10454","All ages",37829.72,4112,29896,34008,11099,3588,10.87,79.03,89.9,29.34,9.48
2023-07-27,"Mott Haven","Bronx","10455","10455","All ages",41893.78,4251,32895,37146,12128,3675,10.15,78.52,88.67,28.95,8.77
2023-07-27,"Claremont/Morrisania","Bronx","10456","10456","All ages",93192.84,9006,68774,77780,24421,7646,9.66,73.8,83.46,26.2,8.2
2023-07-27,"Belmont/Claremont/Mount Hope/Tremont","Bronx","10457","10457","All ages",73721.56,8256,57249,65505,20209,5689,11.2,77.66,88.85,27.41,7.72
2023-07-27,"Belmont/Fordham University/Kingsbridge","Bronx","10458","10458","All ages",82740.43,7945,61265,69210,22715,7255,9.6,74.04,83.65,27.45,8.77
2023-07-27,"Charlotte Gardens/Hunts Point","Bronx","10459","10459","All ages",47872.88,4671,37558,42229,13831,4086,9.76,78.45,88.21,28.89,8.54
2023-07-27,"Charlotte Gardens/Tremont/Van Nest/West Farms","Bronx","10460","10460","All ages",58874.7,5786,43609,49395,16127,4781,9.83,74.07,83.9,27.39,8.12
2023-07-27,"Morris Park/Pelham Bay/Westchester Square","Bronx","10461","10461","All ages",49097.83,3983,42159,46142,20176,7140,8.11,85.87,93.98,41.09,14.54
2023-07-27,"Parkchester/Pelham Parkway/Van Nest/Westchester Square","Bronx","10462","10462","All ages",75315.82,6265,66192,72457,30399,10006,8.32,87.89,96.2,40.36,13.29
2023-07-27,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil","Bronx","10463","10463","All ages",69983.86,5361,55866,61227,29379,13382,7.66,79.83,87.49,41.98,19.12
2023-07-27,"City Island","Bronx","10464","10464","All ages",4285.4,268,3609,3877,2118,933,6.25,84.22,90.47,49.42,21.77
2023-07-27,"Country Club/Throgs Neck","Bronx","10465","10465","All ages",43122.23,2518,30715,33233,14223,4828,5.84,71.23,77.07,32.98,11.2
2023-07-27,"Edenwald/Wakefield","Bronx","10466","10466","All ages",71310.11,5208,49978,55186,20626,6018,7.3,70.09,77.39,28.92,8.44
2023-07-27,"Allerton/Norwood/Pelham Parkway/Williamsbridge","Bronx","10467","10467","All ages",102058.58,8829,78069,86898,32179,10692,8.65,76.49,85.15,31.53,10.48
2023-07-27,"Fordham/Kingsbridge/University Heights","Bronx","10468","10468","All ages",77811.41,7118,57868,64986,21434,6572,9.15,74.37,83.52,27.55,8.45
2023-07-27,"Allerton/Baychester/Pelham Gardens/Williamsbridge","Bronx","10469","10469","All ages",72616.96,5026,51015,56041,22662,7293,6.92,70.25,77.17,31.21,10.04
2023-07-27,"Wakefield/Woodlawn","Bronx","10470","10470","All ages",14991.78,1164,11705,12869,5399,1700,7.76,78.08,85.84,36.01,11.34
2023-07-27,"Fieldston/North Riverdale/Riverdale","Bronx","10471","10471","All ages",21241.06,1688,18287,19975,11235,5874,7.95,86.09,94.04,52.89,27.65
2023-07-27,"Soundview","Bronx","10472","10472","All ages",67979.13,6836,53569,60405,20053,6041,10.06,78.8,88.86,29.5,8.89
2023-07-27,"Castle Hill/Clason Point/Soundview","Bronx","10473","10473","All ages",59110.54,4686,44939,49625,20016,6986,7.93,76.03,83.95,33.86,11.82
2023-07-27,"Hunts Point","Bronx","10474","10474","All ages",11975.58,1252,8783,10035,3060,900,10.45,73.34,83.8,25.55,7.52
2023-07-27,"Co-op City/Edenwald","Bronx","10475","10475","All ages",42737.28,2217,32170,34387,17765,7389,5.19,75.27,80.46,41.57,17.29
2023-07-27,"Bellerose/Douglaston-Little Neck","Queens","11004","11004, 11005","All ages",18949.5,911,15390,16301,10150,4014,4.81,81.22,86.02,53.56,21.18
2023-07-27,"Astoria (South)/Long Island City/Sunnyside","Queens","11101","11101","All ages",36835.54,8683,42190,50873,23017,11110,23.57,114.54,138.11,62.49,30.16
2023-07-27,"Astoria (North)","Queens","11102","11102","All ages",30044.75,3107,30017,33124,15903,6609,10.34,99.91,110.25,52.93,22
2023-07-27,"Astoria (North)/Astoria (South)","Queens","11103","11103","All ages",34937.39,3020,30742,33762,16275,6440,8.64,87.99,96.64,46.58,18.43
2023-07-27,"Sunnyside","Queens","11104","11104","All ages",25437.08,2156,24045,26201,13994,6108,8.48,94.53,103,55.01,24.01
2023-07-27,"Ditmars Steinway","Queens","11105","11105","All ages",36189.85,2533,29079,31612,16147,6475,7,80.35,87.35,44.62,17.89
2023-07-27,"Astoria (South)","Queens","11106","11106","All ages",37428.62,3478,34046,37524,18967,8096,9.29,90.96,100.25,50.68,21.63
2023-07-27,"Long Island City","Queens","11109","11109","All ages",5762.76,937,5949,6886,3750,1887,16.26,103.23,119.49,65.07,32.74
2023-07-27,"Brooklyn Heights/DUMBO/Downtown Brooklyn","Brooklyn","11201","11201","All ages",62294.06,8207,60440,68647,39665,25051,13.17,97.02,110.2,63.67,40.21
2023-07-27,"East Flatbush (North)/East Flatbush (South)","Brooklyn","11203","11203","All ages",73314.38,5258,54577,59835,22187,5423,7.17,74.44,81.61,30.26,7.4
2023-07-27,"Bensonhurst/Mapleton","Brooklyn","11204","11204","All ages",77087.49,5059,54348,59407,26845,7519,6.56,70.5,77.06,34.82,9.75
