"DATE","RESIDENCY_NEW","COUNT_1PLUS_CUMULATIVE","PERC_1PLUS_CUMULATIVE"
"2021-05-31","NYC",4258128,85.32
"2021-05-31","NON-NYC",711755,14.26
"2021-05-31","UNKNOWN",20913,0.42
