"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-08-03","Asian","65+",12498,144547
"2021-08-03","Black","65+",9719,155240
"2021-08-03","Hispanic/Latino","65+",10620,174752
"2021-08-03","Multiracial","65+",74,589
"2021-08-03","Native American/Alaska Native","65+",375,2632
"2021-08-03","Native Hawaiian/Pacific Islander","65+",135,1131
"2021-08-03","Other","65+",25751,106195
"2021-08-03","Unknown","65+",16348,89849
"2021-08-03","White","65+",97104,308675
