"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-08-03","Asian","18-64",73672,726159
"2021-08-03","Black","18-64",47505,460207
"2021-08-03","Hispanic/Latino","18-64",83711,909714
"2021-08-03","Multiracial","18-64",398,3016
"2021-08-03","Native American/Alaska Native","18-64",1325,10210
"2021-08-03","Native Hawaiian/Pacific Islander","18-64",785,5548
"2021-08-03","Other","18-64",60728,347280
"2021-08-03","Unknown","18-64",72699,375227
"2021-08-03","White","18-64",254096,951179
