"DATE","RACE_ETHNICITY","AGE_GROUP","NON-NYC","NYC"
"2021-08-03","Asian","All ages",89390,928970
"2021-08-03","Black","All ages",58814,643177
"2021-08-03","Hispanic/Latino","All ages",98671,1156774
"2021-08-03","Multiracial","All ages",477,3665
"2021-08-03","Native American/Alaska Native","All ages",1747,14106
"2021-08-03","Native Hawaiian/Pacific Islander","All ages",954,7119
"2021-08-03","Other","All ages",88300,476829
"2021-08-03","Unknown","All ages",91336,487755
"2021-08-03","White","All ages",358029,1301834
