"DATE","AGE_GROUP","RACE_ETHNICITY","CITY_COUNT_1PLUS_CUMULATIVE","BX_COUNT_1PLUS_CUMULATIVE","BK_COUNT_1PLUS_CUMULATIVE","MH_COUNT_1PLUS_CUMULATIVE","QS_COUNT_1PLUS_CUMULATIVE","SI_COUNT_1PLUS_CUMULATIVE","CITY_PERC_1PLUS","BK_PERC_1PLUS","BX_PERC_1PLUS","MH_PERC_1PLUS","QS_PERC_1PLUS","SI_PERC_1PLUS"
"2021-08-03","Boroughwide","Boroughwide",5020229,728431,1358388,1161961,1507014,264435,60.22,53.06,51.26,72.11,66.44,55.54
"2021-08-03","All ages","Asian/NHPI",936089,34821,247111,156073,460351,37733,75.88,77.24,60.11,76.93,76.5,73.73
"2021-08-03","All ages","Black",643177,139872,261804,84162,141631,15708,35.23,34.42,33.96,42.1,34.64,35.16
"2021-08-03","All ages","Hispanic/Latino",1156774,318418,216922,233061,352002,36371,47.73,44.85,39.55,57.14,55.15,41.03
"2021-08-03","All ages","White",1301834,58424,391712,467229,261128,123341,48.54,41.62,45.65,61.1,46.27,43.48
"2021-08-03","18-44","Asian/NHPI",440256,16311,119060,88283,200787,15815,85.78,89.28,70.24,81.98,87.31,83.22
"2021-08-03","18-44","Black",213827,45668,87192,31394,44084,5489,31.16,30.56,29.73,39.18,29.39,31.76
"2021-08-03","18-44","Hispanic/Latino",526476,132444,105203,108118,164560,16151,53.6,52.37,41.27,63.3,64.8,45.32
"2021-08-03","18-44","White",591659,18970,206841,233412,96979,35457,54.98,52.45,47.21,64.88,50.31,39.84
"2021-08-03","45-64","Asian/NHPI",291451,11163,73752,38788,155085,12663,88.79,90.4,74.23,88.29,89.61,86.66
"2021-08-03","45-64","Black",246380,56906,97939,30125,55021,6389,50.72,49.42,53,56.03,47.85,56.02
"2021-08-03","45-64","Hispanic/Latino",383238,113215,68312,70947,117731,13033,68.75,64.52,62.89,74.51,75.2,65.89
"2021-08-03","45-64","White",359520,18588,97329,119646,78194,45763,57.51,52.07,59.43,67.6,53.26,55.07
"2021-08-03","65+","Asian/NHPI",145678,5083,36973,22662,74541,6419,82.69,91.27,66.81,76.58,81.82,87.13
"2021-08-03","65+","Black",155240,30637,65626,19669,36329,2979,55.28,54.16,54.58,59.35,55.49,60.81
"2021-08-03","65+","Hispanic/Latino",174752,51768,30967,40946,46396,4675,61.46,56.78,58.74,64.33,65.24,67.57
"2021-08-03","65+","White",308675,18744,75779,97849,77865,38438,58.75,51.15,51.76,67.65,56.88,64.61
