"BOROUGH","POP_DENOMINATOR","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_FULLY","PERC_1PLUS"
"CITYWIDE",8336817,4593277,5020229,55.1,60.22
"BRONX",1421020.59,651944,728431,45.88,51.26
"BROOKLYN",2559903,1240341,1358388,48.45,53.06
"MANHATTAN",1611420.17,1073254,1161961,66.6,72.11
"QUEENS",2268330.23,1384512,1507014,61.04,66.44
"STATEN ISLAND",476143,243226,264435,51.08,55.54
"Updated:  August 04, at 9:30 a.m.",,,,,
